Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=16, lr=0.0002, weight_decay=0.0004, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_origin_zero_220906')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1795: UserWarning: nn.functional.tanh is deprecated. Use torch.tanh instead.
  warnings.warn("nn.functional.tanh is deprecated. Use torch.tanh instead.")
Loss at iteration 10 : 0.31379640102386475
Loss at iteration 20 : 0.20551370084285736
Loss at iteration 30 : 0.17200002074241638
Loss at iteration 40 : 0.11945235729217529
Loss at iteration 50 : 0.11588895320892334
Loss at iteration 60 : 0.10594230890274048
Loss at iteration 70 : 0.10648877918720245
Loss at iteration 80 : 0.090744249522686
Loss at iteration 90 : 0.1262640655040741
Loss at iteration 100 : 0.09242331981658936
Loss at iteration 110 : 0.0957602709531784
Loss at iteration 120 : 0.10005336254835129
Loss at iteration 130 : 0.1048196479678154
Loss at iteration 140 : 0.1019303947687149
Loss at iteration 150 : 0.10950210690498352
Loss at iteration 160 : 0.11068522930145264
Loss at iteration 170 : 0.12596163153648376
Loss at iteration 180 : 0.11632013320922852
Loss at iteration 190 : 0.09439019858837128
Loss at iteration 200 : 0.11361406743526459
Loss at iteration 210 : 0.0705355703830719
Loss at iteration 220 : 0.14405548572540283
Loss at iteration 230 : 0.12307523936033249
Loss at iteration 240 : 0.126351997256279
Loss at iteration 250 : 0.10564099997282028
Loss at iteration 260 : 0.10976897925138474
Loss at iteration 270 : 0.10742701590061188
Loss at iteration 280 : 0.07964456081390381
Loss at iteration 290 : 0.1285814493894577
Loss at iteration 300 : 0.11931245774030685
The SSIM Value is: 0.6551923970381419
The PSNR Value is: 18.968290710449217
the highest SSIM value is: 18.968290710449217
the epoch is: 1
Loss at iteration 10 : 0.09110717475414276
Loss at iteration 20 : 0.10999564826488495
Loss at iteration 30 : 0.1277002990245819
Loss at iteration 40 : 0.11901342868804932
Loss at iteration 50 : 0.10529312491416931
Loss at iteration 60 : 0.09294154495000839
Loss at iteration 70 : 0.11548851430416107
Loss at iteration 80 : 0.11674674600362778
Loss at iteration 90 : 0.11824841797351837
Loss at iteration 100 : 0.13023260235786438
Loss at iteration 110 : 0.09362101554870605
Loss at iteration 120 : 0.0981467217206955
