Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=8, lr=0.001, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_u2net_ploss_220919')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.03749103844165802
Loss at iteration 20 : 0.03335133567452431
Loss at iteration 30 : 0.021369904279708862
Loss at iteration 40 : 0.029902445152401924
Loss at iteration 50 : 0.02816915139555931
Loss at iteration 60 : 0.026668701320886612
Loss at iteration 70 : 0.025143682956695557
Loss at iteration 80 : 0.020017297938466072
Loss at iteration 90 : 0.027883494272828102
Loss at iteration 100 : 0.018885605037212372
Loss at iteration 110 : 0.02255949378013611
Loss at iteration 120 : 0.021776622161269188
Loss at iteration 130 : 0.020057780668139458
Loss at iteration 140 : 0.02967369556427002
Loss at iteration 150 : 0.028342600911855698
Loss at iteration 160 : 0.020078502595424652
Loss at iteration 170 : 0.019869603216648102
Loss at iteration 180 : 0.031109599396586418
Loss at iteration 190 : 0.027758365496993065
Loss at iteration 200 : 0.017696650698781013
Loss at iteration 210 : 0.014747084118425846
Loss at iteration 220 : 0.02210981771349907
Loss at iteration 230 : 0.015687797218561172
Loss at iteration 240 : 0.01607445813715458
Loss at iteration 250 : 0.018427416682243347
Loss at iteration 260 : 0.019673313945531845
Loss at iteration 270 : 0.01567714661359787
Loss at iteration 280 : 0.025705434381961823
Loss at iteration 290 : 0.024946201592683792
Loss at iteration 300 : 0.024301769211888313
Loss at iteration 310 : 0.01714060641825199
Loss at iteration 320 : 0.01819520816206932
Loss at iteration 330 : 0.0155098931863904
Loss at iteration 340 : 0.021786006167531013
Loss at iteration 350 : 0.024659063667058945
Loss at iteration 360 : 0.02965298667550087
Loss at iteration 370 : 0.02433774620294571
Loss at iteration 380 : 0.029306456446647644
Loss at iteration 390 : 0.03503783047199249
Loss at iteration 400 : 0.01808921992778778
Loss at iteration 410 : 0.01384708657860756
Loss at iteration 420 : 0.029192954301834106
Loss at iteration 430 : 0.016972946003079414
Loss at iteration 440 : 0.022173138335347176
Loss at iteration 450 : 0.02101021073758602
Loss at iteration 460 : 0.0231865756213665
Loss at iteration 470 : 0.02476242184638977
Loss at iteration 480 : 0.02711973898112774
Loss at iteration 490 : 0.018247362226247787
Loss at iteration 500 : 0.01933036744594574
Loss at iteration 510 : 0.023467622697353363
Loss at iteration 520 : 0.023961350321769714
Loss at iteration 530 : 0.01914125122129917
Loss at iteration 540 : 0.019594112411141396
Loss at iteration 550 : 0.01648867130279541
Loss at iteration 560 : 0.017421221360564232
Loss at iteration 570 : 0.017299834638834
Loss at iteration 580 : 0.01795751228928566
Loss at iteration 590 : 0.016048947349190712
