Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=4, lr=0.0002, weight_decay=0.0004, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_u2net_ploss_pem_220919')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.0706949383020401
Loss at iteration 20 : 0.05494117736816406
Loss at iteration 30 : 0.07197824120521545
Loss at iteration 40 : 0.054428134113550186
Loss at iteration 50 : 0.07168253511190414
Loss at iteration 60 : 0.06994781643152237
Loss at iteration 70 : 0.06865614652633667
Loss at iteration 80 : 0.06097131595015526
Loss at iteration 90 : 0.0786128118634224
Loss at iteration 100 : 0.06123889982700348
Loss at iteration 110 : 0.06400492042303085
Loss at iteration 120 : 0.07581474632024765
Loss at iteration 130 : 0.08667346835136414
Loss at iteration 140 : 0.0573759600520134
Loss at iteration 150 : 0.08659599721431732
Loss at iteration 160 : 0.05123702064156532
Loss at iteration 170 : 0.04593214765191078
Loss at iteration 180 : 0.054352015256881714
Loss at iteration 190 : 0.08475400507450104
Loss at iteration 200 : 0.07196725904941559
Loss at iteration 210 : 0.06592443585395813
Loss at iteration 220 : 0.07142012566328049
Loss at iteration 230 : 0.09200311452150345
Loss at iteration 240 : 0.07332330197095871
Loss at iteration 250 : 0.061585552990436554
Loss at iteration 260 : 0.06614729762077332
Loss at iteration 270 : 0.0828605368733406
Loss at iteration 280 : 0.06986016035079956
Loss at iteration 290 : 0.0808950811624527
Loss at iteration 300 : 0.0625317320227623
Loss at iteration 310 : 0.08120265603065491
Loss at iteration 320 : 0.040459662675857544
Loss at iteration 330 : 0.07706931233406067
Loss at iteration 340 : 0.06474356353282928
Loss at iteration 350 : 0.07059377431869507
Loss at iteration 360 : 0.06716564297676086
Loss at iteration 370 : 0.050708942115306854
Loss at iteration 380 : 0.07846193760633469
Loss at iteration 390 : 0.07340505719184875
Loss at iteration 400 : 0.0845557302236557
Loss at iteration 410 : 0.059265054762363434
Loss at iteration 420 : 0.06712055206298828
Loss at iteration 430 : 0.07253462821245193
Loss at iteration 440 : 0.09330074489116669
Loss at iteration 450 : 0.06450396031141281
Loss at iteration 460 : 0.06751362979412079
Loss at iteration 470 : 0.07751807570457458
Loss at iteration 480 : 0.07321427017450333
Loss at iteration 490 : 0.06907841563224792
Loss at iteration 500 : 0.057272784411907196
Loss at iteration 510 : 0.07048079371452332
Loss at iteration 520 : 0.06774091720581055
Loss at iteration 530 : 0.05650443583726883
Loss at iteration 540 : 0.05855812504887581
Loss at iteration 550 : 0.06506191194057465
Loss at iteration 560 : 0.05133721977472305
Loss at iteration 570 : 0.08751183748245239
Loss at iteration 580 : 0.05618515610694885
Loss at iteration 590 : 0.0407925583422184
