Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=8, lr=0.0002, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_u2net_ploss_wo_global_220920')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.06507420539855957
Loss at iteration 20 : 0.053734660148620605
Loss at iteration 30 : 0.03404423967003822
Loss at iteration 40 : 0.03213135898113251
Loss at iteration 50 : 0.030644763261079788
Loss at iteration 60 : 0.02631440944969654
Loss at iteration 70 : 0.025270117446780205
Loss at iteration 80 : 0.02220362052321434
Loss at iteration 90 : 0.021311374381184578
Loss at iteration 100 : 0.027113711461424828
Loss at iteration 110 : 0.02485019341111183
Loss at iteration 120 : 0.022191304713487625
Loss at iteration 130 : 0.026796355843544006
Loss at iteration 140 : 0.0214545875787735
Loss at iteration 150 : 0.021634040400385857
Loss at iteration 160 : 0.02185993082821369
Loss at iteration 170 : 0.02250632643699646
Loss at iteration 180 : 0.026018032804131508
Loss at iteration 190 : 0.030632756650447845
Loss at iteration 200 : 0.02540173940360546
Loss at iteration 210 : 0.02588784135878086
Loss at iteration 220 : 0.019445110112428665
Loss at iteration 230 : 0.026559680700302124
Loss at iteration 240 : 0.019099248573184013
Loss at iteration 250 : 0.024060819298028946
Loss at iteration 260 : 0.018922509625554085
Loss at iteration 270 : 0.02930130437016487
Loss at iteration 280 : 0.0180045198649168
Loss at iteration 290 : 0.019073812291026115
Loss at iteration 300 : 0.0269184447824955
Loss at iteration 310 : 0.023300789296627045
Loss at iteration 320 : 0.019535444676876068
Loss at iteration 330 : 0.014851542189717293
Loss at iteration 340 : 0.024126866832375526
Loss at iteration 350 : 0.02019772119820118
Loss at iteration 360 : 0.02267923206090927
Loss at iteration 370 : 0.023071514442563057
Loss at iteration 380 : 0.019076989963650703
Loss at iteration 390 : 0.015256979502737522
Loss at iteration 400 : 0.024867704138159752
Loss at iteration 410 : 0.02281133271753788
Loss at iteration 420 : 0.012200551107525826
Loss at iteration 430 : 0.025916650891304016
Loss at iteration 440 : 0.024569079279899597
Loss at iteration 450 : 0.017142213881015778
Loss at iteration 460 : 0.015272380784153938
Loss at iteration 470 : 0.02036151848733425
Loss at iteration 480 : 0.022820204496383667
Loss at iteration 490 : 0.019430622458457947
Loss at iteration 500 : 0.025084204971790314
Loss at iteration 510 : 0.027731632813811302
Loss at iteration 520 : 0.022553054615855217
Loss at iteration 530 : 0.02915104292333126
Loss at iteration 540 : 0.022920846939086914
Loss at iteration 550 : 0.016370326280593872
Loss at iteration 560 : 0.02064673975110054
Loss at iteration 570 : 0.017838964238762856
Loss at iteration 580 : 0.0263037271797657
Loss at iteration 590 : 0.02451440319418907
