Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=8, lr=0.0002, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_unet_weight_220922')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.07207800447940826
Loss at iteration 20 : 0.055699367076158524
Loss at iteration 30 : 0.04075978323817253
Loss at iteration 40 : 0.046985626220703125
Loss at iteration 50 : 0.03235083818435669
Loss at iteration 60 : 0.028116915374994278
Loss at iteration 70 : 0.0378694087266922
Loss at iteration 80 : 0.02564943954348564
Loss at iteration 90 : 0.026543769985437393
Loss at iteration 100 : 0.03149109706282616
Loss at iteration 110 : 0.028768811374902725
Loss at iteration 120 : 0.037631433457136154
Loss at iteration 130 : 0.035220734775066376
Loss at iteration 140 : 0.03488098829984665
Loss at iteration 150 : 0.027344537898898125
Loss at iteration 160 : 0.024031123146414757
Loss at iteration 170 : 0.039064206182956696
Loss at iteration 180 : 0.030487041920423508
Loss at iteration 190 : 0.03650631755590439
Loss at iteration 200 : 0.02462335303425789
Loss at iteration 210 : 0.020553281530737877
Loss at iteration 220 : 0.02422596700489521
Loss at iteration 230 : 0.02854994498193264
Loss at iteration 240 : 0.028106601908802986
Loss at iteration 250 : 0.03132312744855881
Loss at iteration 260 : 0.03220085799694061
Loss at iteration 270 : 0.03419453278183937
Loss at iteration 280 : 0.0433155782520771
Loss at iteration 290 : 0.02605627290904522
Loss at iteration 300 : 0.0342569537460804
Loss at iteration 310 : 0.028765909373760223
Loss at iteration 320 : 0.03889012336730957
Loss at iteration 330 : 0.02234768122434616
Loss at iteration 340 : 0.036656543612480164
Loss at iteration 350 : 0.02168658748269081
Loss at iteration 360 : 0.030678385868668556
Loss at iteration 370 : 0.024885855615139008
Loss at iteration 380 : 0.026112038642168045
Loss at iteration 390 : 0.031998615711927414
Loss at iteration 400 : 0.0365118682384491
Loss at iteration 410 : 0.03795519098639488
Loss at iteration 420 : 0.02225469797849655
Loss at iteration 430 : 0.027642928063869476
Loss at iteration 440 : 0.022290442138910294
Loss at iteration 450 : 0.028747843578457832
Loss at iteration 460 : 0.031653691083192825
Loss at iteration 470 : 0.03113505244255066
Loss at iteration 480 : 0.025208216160535812
Loss at iteration 490 : 0.024864841252565384
Loss at iteration 500 : 0.025742046535015106
Loss at iteration 510 : 0.020695071667432785
Loss at iteration 520 : 0.027381863445043564
Loss at iteration 530 : 0.03526965156197548
Loss at iteration 540 : 0.023953113704919815
Loss at iteration 550 : 0.02347545325756073
Loss at iteration 560 : 0.017305448651313782
Loss at iteration 570 : 0.029246794059872627
Loss at iteration 580 : 0.021236110478639603
Loss at iteration 590 : 0.02327680215239525
