Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=8, lr=0.0002, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_unet_weight_wo_globel_221006')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.06704296916723251
Loss at iteration 20 : 0.052823107689619064
Loss at iteration 30 : 0.04057803004980087
Loss at iteration 40 : 0.03185596689581871
Loss at iteration 50 : 0.03484032303094864
Loss at iteration 60 : 0.03045363537967205
Loss at iteration 70 : 0.03787662088871002
Loss at iteration 80 : 0.03725350648164749
Loss at iteration 90 : 0.038195181638002396
Loss at iteration 100 : 0.030937623232603073
Loss at iteration 110 : 0.024330632761120796
Loss at iteration 120 : 0.02877083793282509
Loss at iteration 130 : 0.03919074311852455
Loss at iteration 140 : 0.030237704515457153
Loss at iteration 150 : 0.04128916189074516
Loss at iteration 160 : 0.03178666532039642
Loss at iteration 170 : 0.024357829242944717
Loss at iteration 180 : 0.025030622258782387
Loss at iteration 190 : 0.02545764669775963
Loss at iteration 200 : 0.033062636852264404
Loss at iteration 210 : 0.024656910449266434
Loss at iteration 220 : 0.028103409335017204
Loss at iteration 230 : 0.026003342121839523
Loss at iteration 240 : 0.020132461562752724
Loss at iteration 250 : 0.03526156023144722
Loss at iteration 260 : 0.024306271225214005
Loss at iteration 270 : 0.029279667884111404
Loss at iteration 280 : 0.033410441130399704
Loss at iteration 290 : 0.021975811570882797
Loss at iteration 300 : 0.039919428527355194
Loss at iteration 310 : 0.03386635705828667
Loss at iteration 320 : 0.0476682074368
Loss at iteration 330 : 0.033014003187417984
Loss at iteration 340 : 0.029920529574155807
Loss at iteration 350 : 0.02956121787428856
Loss at iteration 360 : 0.03487282246351242
Loss at iteration 370 : 0.024036921560764313
Loss at iteration 380 : 0.027495868504047394
Loss at iteration 390 : 0.026035524904727936
Loss at iteration 400 : 0.022254250943660736
Loss at iteration 410 : 0.019346829503774643
Loss at iteration 420 : 0.02896282821893692
Loss at iteration 430 : 0.028614060953259468
Loss at iteration 440 : 0.01880856230854988
Loss at iteration 450 : 0.03046124055981636
Loss at iteration 460 : 0.030933603644371033
Loss at iteration 470 : 0.02767227217555046
Loss at iteration 480 : 0.024270737543702126
Loss at iteration 490 : 0.020821550861001015
Loss at iteration 500 : 0.0232987180352211
Loss at iteration 510 : 0.02719961851835251
Loss at iteration 520 : 0.02805865928530693
Loss at iteration 530 : 0.027219217270612717
Loss at iteration 540 : 0.022618979215621948
Loss at iteration 550 : 0.025941604748368263
Loss at iteration 560 : 0.023827694356441498
Loss at iteration 570 : 0.01758759841322899
Loss at iteration 580 : 0.02548852004110813
Loss at iteration 590 : 0.03127605468034744
