Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=8, lr=0.0002, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_decom_all_20230220')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.10217016190290451
Loss at iteration 20 : 0.05651313066482544
Loss at iteration 30 : 0.04720228910446167
Loss at iteration 40 : 0.055536773055791855
Loss at iteration 50 : 0.038141921162605286
Loss at iteration 60 : 0.03809111565351486
Loss at iteration 70 : 0.05270460993051529
Loss at iteration 80 : 0.04046051949262619
Loss at iteration 90 : 0.030186019837856293
Loss at iteration 100 : 0.03073039837181568
Loss at iteration 110 : 0.03178149461746216
Loss at iteration 120 : 0.029706183820962906
Loss at iteration 130 : 0.040847741067409515
Loss at iteration 140 : 0.034512944519519806
Loss at iteration 150 : 0.03665272146463394
Loss at iteration 160 : 0.026670610532164574
Loss at iteration 170 : 0.03323043882846832
Loss at iteration 180 : 0.03830472379922867
Loss at iteration 190 : 0.02914823219180107
Loss at iteration 200 : 0.030633939430117607
Loss at iteration 210 : 0.04056963324546814
Loss at iteration 220 : 0.04842666536569595
Loss at iteration 230 : 0.02502961829304695
Loss at iteration 240 : 0.030740998685359955
Loss at iteration 250 : 0.0352790504693985
Loss at iteration 260 : 0.0373140424489975
Loss at iteration 270 : 0.03360412269830704
Loss at iteration 280 : 0.03798980638384819
Loss at iteration 290 : 0.02770104818046093
Loss at iteration 300 : 0.04454322159290314
Loss at iteration 310 : 0.035048991441726685
Loss at iteration 320 : 0.03290826082229614
Loss at iteration 330 : 0.030196845531463623
Loss at iteration 340 : 0.028817476704716682
Loss at iteration 350 : 0.03207486495375633
Loss at iteration 360 : 0.040943849831819534
Loss at iteration 370 : 0.02934853732585907
Loss at iteration 380 : 0.035641252994537354
Loss at iteration 390 : 0.029902029782533646
Loss at iteration 400 : 0.036507055163383484
Loss at iteration 410 : 0.03249777853488922
Loss at iteration 420 : 0.02459833398461342
Loss at iteration 430 : 0.02935441955924034
Loss at iteration 440 : 0.029391737654805183
Loss at iteration 450 : 0.032235436141490936
Loss at iteration 460 : 0.031948622316122055
Loss at iteration 470 : 0.0273427814245224
Loss at iteration 480 : 0.03554666042327881
Loss at iteration 490 : 0.02693045698106289
Loss at iteration 500 : 0.028567416593432426
Loss at iteration 510 : 0.023290026932954788
Loss at iteration 520 : 0.021827515214681625
Loss at iteration 530 : 0.033988211303949356
Loss at iteration 540 : 0.02948758378624916
Loss at iteration 550 : 0.02339046075940132
Loss at iteration 560 : 0.026011411100625992
Loss at iteration 570 : 0.025995520874857903
Loss at iteration 580 : 0.03119756653904915
Loss at iteration 590 : 0.02577022649347782
