Namespace(gpu_id=0, img_path='/home/wsz/workspace/Data/LOLdataset/our485_patch/low/', img_val_path='/home/wsz/workspace/Data/LOLdataset/eval15/low/', batch_size=4, lr=0.0002, weight_decay=0, pretrain_dir=None, num_epochs=200, display_iter=10, snapshots_folder='workdirs/snapshots_folder_lol_v1_patch_decom_all_1_20230220')
Total examples: 4850
Total examples: 15
the device is: cuda:0
######## Start IAT Training #########
the epoch is: 0
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:3631: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  warnings.warn(
/home/wsz/miniconda3/envs/kang/lib/python3.9/site-packages/torch/nn/functional.py:1806: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Loss at iteration 10 : 0.08414290845394135
Loss at iteration 20 : 0.08052878081798553
Loss at iteration 30 : 0.04237973317503929
Loss at iteration 40 : 0.03356510400772095
Loss at iteration 50 : 0.05621006712317467
Loss at iteration 60 : 0.045357853174209595
Loss at iteration 70 : 0.03184947371482849
Loss at iteration 80 : 0.03106561303138733
Loss at iteration 90 : 0.030315758660435677
Loss at iteration 100 : 0.027001164853572845
Loss at iteration 110 : 0.03293308615684509
Loss at iteration 120 : 0.034596607089042664
Loss at iteration 130 : 0.03924231976270676
Loss at iteration 140 : 0.03308067470788956
Loss at iteration 150 : 0.02306171879172325
Loss at iteration 160 : 0.03974517434835434
Loss at iteration 170 : 0.03062041476368904
Loss at iteration 180 : 0.039181239902973175
Loss at iteration 190 : 0.025575414299964905
Loss at iteration 200 : 0.031517188996076584
Loss at iteration 210 : 0.03399881348013878
Loss at iteration 220 : 0.03281894698739052
Loss at iteration 230 : 0.02912287414073944
Loss at iteration 240 : 0.04325830936431885
Loss at iteration 250 : 0.039608389139175415
Loss at iteration 260 : 0.043694522231817245
Loss at iteration 270 : 0.026335611939430237
Loss at iteration 280 : 0.03668777272105217
Loss at iteration 290 : 0.03153533488512039
Loss at iteration 300 : 0.037623483687639236
Loss at iteration 310 : 0.025594869628548622
Loss at iteration 320 : 0.042624469846487045
Loss at iteration 330 : 0.041979461908340454
Loss at iteration 340 : 0.03370049595832825
Loss at iteration 350 : 0.02056206949055195
Loss at iteration 360 : 0.02932835929095745
Loss at iteration 370 : 0.02781745046377182
Loss at iteration 380 : 0.02685883641242981
Loss at iteration 390 : 0.02811484783887863
Loss at iteration 400 : 0.03520870953798294
Loss at iteration 410 : 0.03834421932697296
Loss at iteration 420 : 0.022624937817454338
Loss at iteration 430 : 0.019438954070210457
Loss at iteration 440 : 0.032188549637794495
Loss at iteration 450 : 0.01975015550851822
Loss at iteration 460 : 0.019651401787996292
Loss at iteration 470 : 0.03543026000261307
Loss at iteration 480 : 0.03499861806631088
Loss at iteration 490 : 0.027391556650400162
Loss at iteration 500 : 0.02591477707028389
Loss at iteration 510 : 0.03922189772129059
Loss at iteration 520 : 0.03382500261068344
Loss at iteration 530 : 0.037094950675964355
Loss at iteration 540 : 0.03322077542543411
Loss at iteration 550 : 0.021698325872421265
Loss at iteration 560 : 0.027931876480579376
Loss at iteration 570 : 0.03828713297843933
Loss at iteration 580 : 0.016974519938230515
Loss at iteration 590 : 0.02120715007185936
